intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
4904;2017;11;0;30;0;78;5;1;NA;NA;1;2;2;0.296;0.235;439.5871107335599;1;1;1939
5759;2017;11;0;41;0;29;2;1;NA;NA;2;7;10;0.421;0.451;843.6331359184489;1;12;1987
8062;2017;10;0;35;0;38;2;1;NA;NA;3;3;7;0.728;1.13;2113.7592984209473;2;2;1979
14088;2017;11;0;40;0;52;2;2;12000;1;3;3;4;1.145;0.909;1700.3603559864082;1;1;1965
16551;2017;11;0;60;0;57;2;1;NA;NA;5;7;10;0.333;0.916;1713.4544401359185;1;7;1960
18757;2017;11;0;50;0;52;2;2;12000;1;5;6;8;0.445;0.336;628.5160391764941;1;5;1965
19233;2017;11;0;40;0;38;1;1;NA;NA;5;5;8;0.572;1.724;3224.8858676793925;1;1;1979
21365;2017;11;0;20;1;49;5;1;NA;NA;5;5;10;0.534;0.749;1401.0670039976014;2;3;1968
25758;2017;12;0;39;0;61;2;1;NA;NA;5;6;8;0.534;0.638;1193.4322410553668;2;11;1956
28355;2017;11;0;42;0;47;4;2;12000;1;5;4;7;0.421;2.224;4160.177592644413;1;6;1970
32324;2017;11;0;10;0;27;3;1;NA;NA;5;3;4;0.421;1.487;2781.5575900459726;2;6;1990
33380;2017;11;0;39;0;50;2;2;12000;1;6;7;10;0.534;0.935;1748.9955256845892;2;7;1967
39364;2017;11;0;40;0;64;3;1;NA;NA;7;1;3;0.296;0.211;394.69310793523886;2;11;1953
43379;2017;11;0;35;0;51;1;1;NA;NA;8;4;10;0.296;1.253;2343.841062762342;1;12;1965
43639;2017;11;0;30;0;68;1;1;NA;NA;8;7;10;0.296;0.248;463.9046955826504;1;11;1949
47682;2017;10;0;60;0;40;4;NA;NA;NA;8;4;9;0.728;0.899;1681.6545214871078;1;8;1977
47889;2017;11;0;38;0;40;2;1;NA;NA;8;3;9;0.421;0.684;1279.4790797521487;2;8;1977
